vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count,products_of_vendor,product_url
"Curriculum Associates, LLC",curriculumassociates.com,https://discovery.hgdata.com/collection/curriculum-associates-llc-products-services,"1,377",-,4,Ready Reading,https://discovery.hgdata.com/product/ready-reading
Logo Yazilim A.S.,logo.com.tr,https://discovery.hgdata.com/collection/logo-yazilim-a-s-products-services,562,-,3,Logo CRM,https://discovery.hgdata.com/product/logo-crm
Logo Yazilim A.S.,logo.com.tr,https://discovery.hgdata.com/collection/logo-yazilim-a-s-products-services,562,-,3,Logo ERP,https://discovery.hgdata.com/product/logo-erp
Logo Yazilim A.S.,logo.com.tr,https://discovery.hgdata.com/collection/logo-yazilim-a-s-products-services,562,-,3,Logo HRM,https://discovery.hgdata.com/product/logo-hrm
"WhatRunsWhere, Inc.",whatrunswhere.com,https://discovery.hgdata.com/collection/whatrunswhere-inc-products-services,67,-,1,WhatRunsWhere,https://discovery.hgdata.com/product/whatrunswhere
"Acxiom, LLC",acxiom.com,https://discovery.hgdata.com/collection/acxiom-llc-products-services,"12,577",-,2,Acxiom (Unspecified Product),https://discovery.hgdata.com/product/acxiom-unspecified-product
"Acxiom, LLC",acxiom.com,https://discovery.hgdata.com/collection/acxiom-llc-products-services,"12,577",-,2,LiveRamp,https://discovery.hgdata.com/product/liveramp
1CRM Systems Corporation,1crm.com,https://discovery.hgdata.com/collection/1crm-systems-corporation-products-services,294,-,1,1CRM,https://discovery.hgdata.com/product/1crm
SQLite Consortium,sqlite.org,https://discovery.hgdata.com/collection/sqlite-consortium-products-services,"41,680",-,1,SQLite,https://discovery.hgdata.com/product/sqlite
"SharpSpring, Inc.",sharpspring.com,https://discovery.hgdata.com/collection/sharpspring-inc-products-services,"18,914",-,2,Perfect Audience,https://discovery.hgdata.com/product/perfect-audience
"SharpSpring, Inc.",sharpspring.com,https://discovery.hgdata.com/collection/sharpspring-inc-products-services,"18,914",-,2,SharpSpring,https://discovery.hgdata.com/product/sharpspring
"Syndigo, LLC",syndigo.com,https://discovery.hgdata.com/collection/syndigo-llc-products-services,"2,415",-,3,Shotfarm,https://discovery.hgdata.com/product/shotfarm
"Syndigo, LLC",syndigo.com,https://discovery.hgdata.com/collection/syndigo-llc-products-services,"2,415",-,3,Syndigo,https://discovery.hgdata.com/product/syndigo
"Syndigo, LLC",syndigo.com,https://discovery.hgdata.com/collection/syndigo-llc-products-services,"2,415",-,3,WebCollage,https://discovery.hgdata.com/product/webcollage
PAR Technology Corporation,partech.com,https://discovery.hgdata.com/collection/par-technology-corporation-products-services,188,-,1,Brink POS,https://discovery.hgdata.com/product/brink-pos
"NetBrain Technologies, Inc.",netbraintech.com,https://discovery.hgdata.com/collection/netbrain-technologies-inc-products-services,991,-,1,NetBrain,https://discovery.hgdata.com/product/netbrain
DevFactory FZ-LLC,devfactory.com,https://discovery.hgdata.com/collection/devfactory-fz-llc-products-services,"2,391",-,1,FogBugz,https://discovery.hgdata.com/product/fogbugz
KISSmetrics,kissmetrics.io,https://discovery.hgdata.com/collection/kissmetrics-products-services,"18,822",-,1,KISSmetrics,https://discovery.hgdata.com/product/kissmetrics
