vendor_name,vendor_url,vendor_hg_url,vendor_company_count,vendor_six_month_change,vendor_product_count
"Loft Labs, Inc.",loft.sh,https://discovery.hgdata.com/collection/loft-labs-inc-products-services,34,-,1
"Amdocs Management, Ltd.",amdocs.com,https://discovery.hgdata.com/collection/amdocs-management-ltd-products-services,"3,230",-,6
SellHack,sellhack.com,https://discovery.hgdata.com/collection/sellhack-products-services,36,-,1
"River Logic, Inc.",riverlogic.com,https://discovery.hgdata.com/collection/river-logic-inc-products-services,40,-,1
"Paygate Solutions, Ltd.",paygate.uk,https://discovery.hgdata.com/collection/paygate-solutions-ltd-products-services,53,-,1
"Amobee, Inc.",amobee.com,https://discovery.hgdata.com/collection/amobee-inc-products-services,"28,897",-,4
"Cincom Systems, Inc.",cincom.com,https://discovery.hgdata.com/collection/cincom-systems-inc-products-services,877,-,6
"Inbenta Holdings, Inc.",inbenta.com,https://discovery.hgdata.com/collection/inbenta-holdings-inc-products-services,68,-,1
"Anaplan, Inc.",anaplan.com,https://discovery.hgdata.com/collection/anaplan-inc-products-services,"4,354",-,3
"GuideCX, Inc.",guidecx.com,https://discovery.hgdata.com/collection/guidecx-inc-products-services,73,-,1
Tecknodreams Software Consulting Pvt Ltd,sapphireims.com,https://discovery.hgdata.com/collection/tecknodreams-software-consulting-pvt-ltd-products-services,77,-,1
"ADFITECH, Inc.",adfitech.com,https://discovery.hgdata.com/collection/adfitech-inc-products-services,51,-,1
CloudAware,cloudaware.com,https://discovery.hgdata.com/collection/cloudaware-products-services,49,-,1
"Linguamatics, Ltd.",linguamatics.com,https://discovery.hgdata.com/collection/linguamatics-ltd-products-services,36,-,1
"ANSYS, Inc.",ansys.com,https://discovery.hgdata.com/collection/ansys-inc-products-services,"42,725",-,14
Hitsteps,hitsteps.com,https://discovery.hgdata.com/collection/hitsteps-products-services,42,-,1
Tresorit AG,tresorit.com,https://discovery.hgdata.com/collection/tresorit-ag-products-services,72,-,1
Computer Guidance Corporation,computerguidance.com,https://discovery.hgdata.com/collection/computer-guidance-corporation-products-services,71,-,1
"Logicalis Group, Ltd.",logicalis.com,https://discovery.hgdata.com/collection/logicalis-group-ltd-products-services,33,-,1
"Global Payments, Inc.",globalpayments.com,https://discovery.hgdata.com/collection/global-payments-inc-products-services,60,-,1
"Anthology, Inc.",anthology.com,https://discovery.hgdata.com/collection/anthology-inc-products-services,"1,889",-,3
"Smiths Medical, Inc.",smiths-medical.com,https://discovery.hgdata.com/collection/smiths-medical-inc-products-services,343,-,5
Ascensio System SIA,onlyoffice.com,https://discovery.hgdata.com/collection/ascensio-system-sia-products-services,74,-,1
"RiskLens, Inc.",risklens.com,https://discovery.hgdata.com/collection/risklens-inc-products-services,65,-,1
"CSG Systems International, Inc.",csgi.com,https://discovery.hgdata.com/collection/csg-systems-international-inc-products-services,"1,317",-,5
"Sourcegraph, Inc.",sourcegraph.com,https://discovery.hgdata.com/collection/sourcegraph-inc-products-services,53,-,1
"Signal Sciences, LLC",signalsciences.com,https://discovery.hgdata.com/collection/signal-sciences-llc-products-services,130,-,2
InetSoft Technology Corporation,inetsoft.com,https://discovery.hgdata.com/collection/inetsoft-technology-corporation-products-services,249,-,2
SpotMe S.A.,spotme.com,https://discovery.hgdata.com/collection/spotme-s-a-products-services,70,-,1
Hivebrite,hivebrite.com,https://discovery.hgdata.com/collection/hivebrite-products-services,75,-,1
AO Kaspersky Lab,kaspersky.com,https://discovery.hgdata.com/collection/ao-kaspersky-lab-products-services,"20,545",-,7
"Corporate Travel Management, Ltd.",travelctm.com,https://discovery.hgdata.com/collection/corporate-travel-management-ltd-products-services,69,-,1
Zenoti,zenoti.com,https://discovery.hgdata.com/collection/zenoti-products-services,44,-,1
"AppFolio, Inc.",appfolio.com,https://discovery.hgdata.com/collection/appfolio-inc-products-services,"5,129",-,3
"SS&C Technologies, Inc.",ssctech.com,https://discovery.hgdata.com/collection/ssandc-technologies-inc-products-services,"2,185",-,17
"Apple, Inc.",apple.com,https://discovery.hgdata.com/collection/apple-inc-products-services,"3,85,904",-,46
"Crown Computing, Ltd.",crownworkforcemanagement.com,https://discovery.hgdata.com/collection/crown-computing-ltd-products-services,89,-,1
"MIND CTI, Ltd.",mindcti.com,https://discovery.hgdata.com/collection/mind-cti-ltd-products-services,65,-,1
"FDM4 America, Inc.",fdm4.com,https://discovery.hgdata.com/collection/fdm4-america-inc-products-services,52,-,1
"TPG Software, Inc.",tpgsoftware.com,https://discovery.hgdata.com/collection/tpg-software-inc-products-services,56,-,1
WEBCENTRIC d.o.o.,webcentric.co.rs,https://discovery.hgdata.com/collection/webcentric-d-o-o-products-services,87,-,1
Vision Helpdesk,visionhelpdesk.com,https://discovery.hgdata.com/collection/vision-helpdesk-products-services,35,-,1
"Orcanos, Ltd.",orcanos.com,https://discovery.hgdata.com/collection/orcanos-ltd-products-services,42,-,1
ALERT Life Sciences Computing S.A.,alert-online.com,https://discovery.hgdata.com/collection/alert-life-sciences-computing-s-a-products-services,43,-,1
